ReferenceAllele,AlternateAllele,Chromosome,Start,Stop,GeneSymbol,ClinicalSignificance,PhenotypeList,Type,Assembly
na,na,6,26091306,26091306,HFE,Uncertain significance,Hemochromatosis type 1|Hereditary hemochromatosis,single nucleotide variant,GRCh37
na,na,6,26091078,26091078,HFE,Uncertain significance,Hemochromatosis type 1|Hereditary hemochromatosis,single nucleotide variant,GRCh38
na,na,6,26091269,26091269,HFE,Uncertain significance,Hemochromatosis type 1|not specified,single nucleotide variant,GRCh37
na,na,6,26091041,26091041,HFE,Uncertain significance,Hemochromatosis type 1|not specified,single nucleotide variant,GRCh38
na,na,6,26093236,26093236,HFE,Benign,HFE INTRONIC POLYMORPHISM|not provided,single nucleotide variant,GRCh37
na,na,6,26093008,26093008,HFE,Benign,HFE INTRONIC POLYMORPHISM|not provided,single nucleotide variant,GRCh38
na,na,6,26091149,26091149,HFE,Uncertain significance,HFE POLYMORPHISM|Hemochromatosis type 1|not provided,single nucleotide variant,GRCh37
na,na,6,26090921,26090921,HFE,Uncertain significance,HFE POLYMORPHISM|Hemochromatosis type 1|not provided,single nucleotide variant,GRCh38
na,na,6,26091167,26091167,HFE,Uncertain significance,HFE POLYMORPHISM|Hemochromatosis type 1|not specified,single nucleotide variant,GRCh37
na,na,6,26090939,26090939,HFE,Uncertain significance,HFE POLYMORPHISM|Hemochromatosis type 1|not specified,single nucleotide variant,GRCh38
na,na,6,26091582,26091582,HFE,Uncertain significance,Hemochromatosis type 1|not specified,single nucleotide variant,GRCh37
na,na,6,26091354,26091354,HFE,Uncertain significance,Hemochromatosis type 1|not specified,single nucleotide variant,GRCh38
na,na,6,26093443,26093443,HFE,Pathogenic,Hemochromatosis type 1,single nucleotide variant,GRCh37
na,na,6,26093215,26093215,HFE,Pathogenic,Hemochromatosis type 1,single nucleotide variant,GRCh38
na,na,6,26093144,26093144,HFE,Pathogenic/Likely pathogenic,Hemochromatosis type 1|Hereditary hemochromatosis|not provided|Incidental Discovery,single nucleotide variant,GRCh37
na,na,6,26092916,26092916,HFE,Pathogenic/Likely pathogenic,Hemochromatosis type 1|Hereditary hemochromatosis|not provided|Incidental Discovery,single nucleotide variant,GRCh38
na,na,2,20189045,20189045,WDR35,Pathogenic,Cranioectodermal dysplasia 2,single nucleotide variant,GRCh37
na,na,2,19989284,19989284,WDR35,Pathogenic,Cranioectodermal dysplasia 2,single nucleotide variant,GRCh38
na,na,2,20145548,20145548,WDR35,Pathogenic,Cranioectodermal dysplasia 2,single nucleotide variant,GRCh37
na,na,2,19945787,19945787,WDR35,Pathogenic,Cranioectodermal dysplasia 2,single nucleotide variant,GRCh38
na,na,2,20131136,20131136,WDR35,Pathogenic,Cranioectodermal dysplasia 2|Short-rib thoracic dysplasia 7 with or without polydactyly;Cranioectodermal dysplasia 2,Deletion,GRCh37
na,na,2,19931375,19931375,WDR35,Pathogenic,Cranioectodermal dysplasia 2|Short-rib thoracic dysplasia 7 with or without polydactyly;Cranioectodermal dysplasia 2,Deletion,GRCh38
na,na,2,20133230,20133230,WDR35,Likely pathogenic,Cranioectodermal dysplasia 2|not provided,single nucleotide variant,GRCh37
na,na,2,19933469,19933469,WDR35,Likely pathogenic,Cranioectodermal dysplasia 2|not provided,single nucleotide variant,GRCh38
na,na,20,25304045,25304046,ABHD12,Pathogenic,PHARC syndrome|not provided,Indel,GRCh37
na,na,20,25323409,25323410,ABHD12,Pathogenic,PHARC syndrome|not provided,Indel,GRCh38
na,GG,20,25364147,25378237,ABHD12,Pathogenic,PHARC syndrome,Indel,GRCh37
na,GG,20,25383511,25397601,ABHD12,Pathogenic,PHARC syndrome,Indel,GRCh38
na,na,20,25288616,25288617,ABHD12,Pathogenic,PHARC syndrome,Duplication,GRCh37
na,na,20,25307980,25307981,ABHD12,Pathogenic,PHARC syndrome,Duplication,GRCh38
na,na,20,25282958,25282958,ABHD12,Pathogenic,PHARC syndrome|not provided,single nucleotide variant,GRCh37
na,na,20,25302322,25302322,ABHD12,Pathogenic,PHARC syndrome|not provided,single nucleotide variant,GRCh38
na,na,2,27601023,27601023,ZNF513,Conflicting classifications of pathogenicity,Retinitis pigmentosa 58|not provided,single nucleotide variant,GRCh37
na,na,2,27378156,27378156,ZNF513,Conflicting classifications of pathogenicity,Retinitis pigmentosa 58|not provided,single nucleotide variant,GRCh38
na,na,10,99371369,99371371,HOGA1,Pathogenic/Likely pathogenic,Primary hyperoxaluria type 3|not provided|HOGA1-related disorder,Microsatellite,GRCh37
na,na,10,97611612,97611614,HOGA1,Pathogenic/Likely pathogenic,Primary hyperoxaluria type 3|not provided|HOGA1-related disorder,Microsatellite,GRCh38
na,na,10,99371292,99371292,HOGA1,Pathogenic,Primary hyperoxaluria type 3|not provided,single nucleotide variant,GRCh37
na,na,10,97611535,97611535,HOGA1,Pathogenic,Primary hyperoxaluria type 3|not provided,single nucleotide variant,GRCh38
na,na,10,99358609,99358609,HOGA1,Pathogenic/Likely pathogenic,Primary hyperoxaluria type 3|not provided|HOGA1-related disorder,single nucleotide variant,GRCh37
na,na,10,97598852,97598852,HOGA1,Pathogenic/Likely pathogenic,Primary hyperoxaluria type 3|not provided|HOGA1-related disorder,single nucleotide variant,GRCh38
na,na,10,99359924,99359924,HOGA1,Pathogenic,Primary hyperoxaluria type 3,single nucleotide variant,GRCh37
na,na,10,97600167,97600167,HOGA1,Pathogenic,Primary hyperoxaluria type 3,single nucleotide variant,GRCh38
na,na,10,99344669,99344669,HOGA1,Pathogenic,Primary hyperoxaluria type 3|not provided,single nucleotide variant,GRCh37
na,na,10,97584912,97584912,HOGA1,Pathogenic,Primary hyperoxaluria type 3|not provided,single nucleotide variant,GRCh38
na,na,10,99361682,99361682,HOGA1,Pathogenic/Likely pathogenic,Primary hyperoxaluria type 3|not provided,single nucleotide variant,GRCh37
na,na,10,97601925,97601925,HOGA1,Pathogenic/Likely pathogenic,Primary hyperoxaluria type 3|not provided,single nucleotide variant,GRCh38
na,na,2,62067454,62067454,FAM161A,Pathogenic,Retinitis pigmentosa 28|Retinal dystrophy|Autosomal recessive retinitis pigmentosa|not provided,single nucleotide variant,GRCh37
na,na,2,61840319,61840319,FAM161A,Pathogenic,Retinitis pigmentosa 28|Retinal dystrophy|Autosomal recessive retinitis pigmentosa|not provided,single nucleotide variant,GRCh38
na,na,2,62066830,62066830,FAM161A,Pathogenic,Retinitis pigmentosa 28|not provided|Cone-rod dystrophy|Retinal dystrophy|Retinitis pigmentosa,single nucleotide variant,GRCh37
na,na,2,61839695,61839695,FAM161A,Pathogenic,Retinitis pigmentosa 28|not provided|Cone-rod dystrophy|Retinal dystrophy|Retinitis pigmentosa,single nucleotide variant,GRCh38
na,na,2,62066783,62066784,FAM161A,Pathogenic,Retinitis pigmentosa 28|not provided|Retinitis pigmentosa|Retinal dystrophy,Deletion,GRCh37
na,na,2,61839648,61839649,FAM161A,Pathogenic,Retinitis pigmentosa 28|not provided|Retinitis pigmentosa|Retinal dystrophy,Deletion,GRCh38
na,na,2,62066572,62066572,FAM161A,Pathogenic,Retinitis pigmentosa 28|Retinal dystrophy|not provided|Retinitis pigmentosa,single nucleotide variant,GRCh37
na,na,2,61839437,61839437,FAM161A,Pathogenic,Retinitis pigmentosa 28|Retinal dystrophy|not provided|Retinitis pigmentosa,single nucleotide variant,GRCh38
na,na,2,62063210,62063210,FAM161A,Pathogenic,Retinitis pigmentosa 28|not provided,single nucleotide variant,GRCh37
na,na,2,61836075,61836075,FAM161A,Pathogenic,Retinitis pigmentosa 28|not provided,single nucleotide variant,GRCh38
na,na,19,36595471,36595474,WDR62,Pathogenic,"Microcephaly 2, primary, autosomal recessive, with or without cortical malformations",Deletion,GRCh37
na,na,19,36104569,36104572,WDR62,Pathogenic,"Microcephaly 2, primary, autosomal recessive, with or without cortical malformations",Deletion,GRCh38
na,na,19,36575580,36575580,WDR62,Uncertain significance,"Microcephaly 2, primary, autosomal recessive, with or without cortical malformations|not provided|Autosomal recessive primary microcephaly|Inborn genetic diseases",single nucleotide variant,GRCh37
na,na,19,36084678,36084678,WDR62,Uncertain significance,"Microcephaly 2, primary, autosomal recessive, with or without cortical malformations|not provided|Autosomal recessive primary microcephaly|Inborn genetic diseases",single nucleotide variant,GRCh38
na,na,19,36558317,36558317,WDR62,Pathogenic,"Microcephaly 2, primary, autosomal recessive, with or without cortical malformations",single nucleotide variant,GRCh37
na,na,19,36067415,36067415,WDR62,Pathogenic,"Microcephaly 2, primary, autosomal recessive, with or without cortical malformations",single nucleotide variant,GRCh38
na,na,19,36574001,36574001,WDR62,Pathogenic,"Microcephaly 2, primary, autosomal recessive, with or without cortical malformations",single nucleotide variant,GRCh37
na,na,19,36083099,36083099,WDR62,Pathogenic,"Microcephaly 2, primary, autosomal recessive, with or without cortical malformations",single nucleotide variant,GRCh38
na,na,19,36594568,36594584,WDR62,Pathogenic,"Microcephaly 2, primary, autosomal recessive, with or without cortical malformations",Deletion,GRCh37
na,na,19,36103666,36103682,WDR62,Pathogenic,"Microcephaly 2, primary, autosomal recessive, with or without cortical malformations",Deletion,GRCh38
na,na,2,63720075,63720075,WDPCP,Pathogenic,Bardet-Biedl syndrome 15,single nucleotide variant,GRCh37
na,na,2,63492941,63492941,WDPCP,Pathogenic,Bardet-Biedl syndrome 15,single nucleotide variant,GRCh38
na,na,2,63664564,63664564,WDPCP,risk factor,"Bardet-Biedl syndrome 12, modifier of",single nucleotide variant,GRCh37
na,na,2,63437430,63437430,WDPCP,risk factor,"Bardet-Biedl syndrome 12, modifier of",single nucleotide variant,GRCh38
na,na,2,63714625,63714625,WDPCP,risk factor,"Meckel syndrome, type 6, modifier of",single nucleotide variant,GRCh37
na,na,2,63487491,63487491,WDPCP,risk factor,"Meckel syndrome, type 6, modifier of",single nucleotide variant,GRCh38
na,na,16,2546588,2546588,TBC1D24,Pathogenic,"Familial infantile myoclonic epilepsy|Developmental and epileptic encephalopathy, 1;Autosomal dominant nonsyndromic hearing loss 65;Caused by mutation in the TBC1 domain family, member 24",single nucleotide variant,GRCh37
na,na,16,2496587,2496587,TBC1D24,Pathogenic,"Familial infantile myoclonic epilepsy|Developmental and epileptic encephalopathy, 1;Autosomal dominant nonsyndromic hearing loss 65;Caused by mutation in the TBC1 domain family, member 24",single nucleotide variant,GRCh38
na,na,16,2550823,2550823,TBC1D24,Conflicting classifications of pathogenicity,"Familial infantile myoclonic epilepsy|Developmental and epileptic encephalopathy, 1;Autosomal dominant nonsyndromic hearing loss 65;Caused by mutation in the TBC1 domain family, member 24|not provided|DOORS syndrome|Inborn genetic diseases",single nucleotide variant,GRCh37
na,na,16,2500822,2500822,TBC1D24,Conflicting classifications of pathogenicity,"Familial infantile myoclonic epilepsy|Developmental and epileptic encephalopathy, 1;Autosomal dominant nonsyndromic hearing loss 65;Caused by mutation in the TBC1 domain family, member 24|not provided|DOORS syndrome|Inborn genetic diseases",single nucleotide variant,GRCh38
na,na,16,2546900,2546900,TBC1D24,Pathogenic,Familial infantile myoclonic epilepsy,single nucleotide variant,GRCh37
na,na,16,2496899,2496899,TBC1D24,Pathogenic,Familial infantile myoclonic epilepsy,single nucleotide variant,GRCh38
na,na,22,41320486,41320486,XPNPEP3,Pathogenic,Nephronophthisis-like nephropathy 1,single nucleotide variant,GRCh37
na,na,22,40924482,40924482,XPNPEP3,Pathogenic,Nephronophthisis-like nephropathy 1,single nucleotide variant,GRCh38
na,na,22,41305199,41305202,XPNPEP3,Pathogenic,Nephronophthisis-like nephropathy 1,Deletion,GRCh37
na,na,22,40909195,40909198,XPNPEP3,Pathogenic,Nephronophthisis-like nephropathy 1,Deletion,GRCh38
na,na,12,123738469,123738469,MTRFR,Pathogenic/Likely pathogenic,Combined oxidative phosphorylation defect type 7|Abnormal brain morphology|Hereditary spastic paraplegia 55|Epileptic encephalopathy,Deletion,GRCh37
na,na,12,123253922,123253922,MTRFR,Pathogenic/Likely pathogenic,Combined oxidative phosphorylation defect type 7|Abnormal brain morphology|Hereditary spastic paraplegia 55|Epileptic encephalopathy,Deletion,GRCh38
na,na,12,123738431,123738431,MTRFR,Pathogenic/Likely pathogenic,Combined oxidative phosphorylation defect type 7|not provided|Spastic paraplegia;Combined oxidative phosphorylation defect type 7,Deletion,GRCh37
na,na,12,123253884,123253884,MTRFR,Pathogenic/Likely pathogenic,Combined oxidative phosphorylation defect type 7|not provided|Spastic paraplegia;Combined oxidative phosphorylation defect type 7,Deletion,GRCh38
na,na,15,49085556,49085556,CEP152,Pathogenic/Likely pathogenic,"Microcephaly 9, primary, autosomal recessive|CEP152-related disorder|not provided|Microcephaly 9, primary, autosomal recessive;Seckel syndrome 5",single nucleotide variant,GRCh37
na,na,15,48793359,48793359,CEP152,Pathogenic/Likely pathogenic,"Microcephaly 9, primary, autosomal recessive|CEP152-related disorder|not provided|Microcephaly 9, primary, autosomal recessive;Seckel syndrome 5",single nucleotide variant,GRCh38
na,na,15,49048486,49048486,CEP152,Pathogenic/Likely pathogenic,"Microcephaly 9, primary, autosomal recessive|not provided",single nucleotide variant,GRCh37
na,na,15,48756289,48756289,CEP152,Pathogenic/Likely pathogenic,"Microcephaly 9, primary, autosomal recessive|not provided",single nucleotide variant,GRCh38
na,na,1,243507579,243507579,SDCCAG8,Pathogenic,Senior-Loken syndrome 7|Bardet-Biedl syndrome 16;Senior-Loken syndrome 7|not provided|Bardet-Biedl syndrome,Deletion,GRCh37
na,na,1,243344277,243344277,SDCCAG8,Pathogenic,Senior-Loken syndrome 7|Bardet-Biedl syndrome 16;Senior-Loken syndrome 7|not provided|Bardet-Biedl syndrome,Deletion,GRCh38
na,na,1,243504455,243504456,SDCCAG8,Pathogenic,Senior-Loken syndrome 7,Duplication,GRCh37
na,na,1,243341153,243341154,SDCCAG8,Pathogenic,Senior-Loken syndrome 7,Duplication,GRCh38
na,na,1,243589819,243589822,SDCCAG8,Pathogenic,Senior-Loken syndrome 7,Microsatellite,GRCh37
na,na,1,243426517,243426520,SDCCAG8,Pathogenic,Senior-Loken syndrome 7,Microsatellite,GRCh38
na,na,1,243468435,243468435,SDCCAG8,Pathogenic/Likely pathogenic,Bardet-Biedl syndrome 16|Senior-Loken syndrome 7|Bardet-Biedl syndrome|Bardet-Biedl syndrome 16;Senior-Loken syndrome 7|SDCCAG8-related disorder,single nucleotide variant,GRCh37
na,na,1,243305133,243305133,SDCCAG8,Pathogenic/Likely pathogenic,Bardet-Biedl syndrome 16|Senior-Loken syndrome 7|Bardet-Biedl syndrome|Bardet-Biedl syndrome 16;Senior-Loken syndrome 7|SDCCAG8-related disorder,single nucleotide variant,GRCh38
na,na,1,243468018,243468018,SDCCAG8,Pathogenic,Bardet-Biedl syndrome 16|Bardet-Biedl syndrome 16;Senior-Loken syndrome 7,single nucleotide variant,GRCh37
na,na,1,243304716,243304716,SDCCAG8,Pathogenic,Bardet-Biedl syndrome 16|Bardet-Biedl syndrome 16;Senior-Loken syndrome 7,single nucleotide variant,GRCh38
na,na,7,128415610,128415610,OPN1SW,Likely benign,Blue color blindness|not provided,single nucleotide variant,GRCh37
na,na,7,128775556,128775556,OPN1SW,Likely benign,Blue color blindness|not provided,single nucleotide variant,GRCh38
na,na,7,128414599,128414599,OPN1SW,Uncertain significance,Blue color blindness|not provided,single nucleotide variant,GRCh37
na,na,7,128774545,128774545,OPN1SW,Uncertain significance,Blue color blindness|not provided,single nucleotide variant,GRCh38
na,na,7,128413840,128413840,OPN1SW,Uncertain significance,Blue color blindness|not provided,single nucleotide variant,GRCh37
na,na,7,128773786,128773786,OPN1SW,Uncertain significance,Blue color blindness|not provided,single nucleotide variant,GRCh38
na,na,1,45480475,45480475,UROD,Pathogenic/Likely pathogenic,Familial porphyria cutanea tarda|not provided,single nucleotide variant,GRCh37
na,na,1,45014803,45014803,UROD,Pathogenic/Likely pathogenic,Familial porphyria cutanea tarda|not provided,single nucleotide variant,GRCh38
na,na,1,45480475,45480475,UROD,Pathogenic,Hepatoerythropoietic porphyria|Porphyria cutanea tarda|Familial porphyria cutanea tarda|not provided,single nucleotide variant,GRCh37
na,na,1,45014803,45014803,UROD,Pathogenic,Hepatoerythropoietic porphyria|Porphyria cutanea tarda|Familial porphyria cutanea tarda|not provided,single nucleotide variant,GRCh38
na,na,1,45479743,45479743,UROD,Pathogenic,Familial porphyria cutanea tarda|not provided,single nucleotide variant,GRCh37
na,na,1,45014071,45014071,UROD,Pathogenic,Familial porphyria cutanea tarda|not provided,single nucleotide variant,GRCh38
na,na,1,45479605,45479605,UROD,Uncertain significance,Hepatoerythropoietic porphyria|not provided,single nucleotide variant,GRCh37
na,na,1,45013933,45013933,UROD,Uncertain significance,Hepatoerythropoietic porphyria|not provided,single nucleotide variant,GRCh38
na,na,1,45480507,45480507,UROD,Pathogenic,Hepatoerythropoietic porphyria,single nucleotide variant,GRCh37
na,na,1,45014835,45014835,UROD,Pathogenic,Hepatoerythropoietic porphyria,single nucleotide variant,GRCh38
na,na,1,45478859,45478859,UROD,Pathogenic,Hepatoerythropoietic porphyria|not provided,single nucleotide variant,GRCh37
na,na,1,45013187,45013187,UROD,Pathogenic,Hepatoerythropoietic porphyria|not provided,single nucleotide variant,GRCh38
na,na,1,45480668,45480668,UROD,Conflicting classifications of pathogenicity,Hepatoerythropoietic porphyria|Sporadic porphyria cutanea tarda|not provided,single nucleotide variant,GRCh37
na,na,1,45014996,45014996,UROD,Conflicting classifications of pathogenicity,Hepatoerythropoietic porphyria|Sporadic porphyria cutanea tarda|not provided,single nucleotide variant,GRCh38
na,na,1,45480678,45480678,UROD,Likely pathogenic,Familial porphyria cutanea tarda|not provided|UROD-related disorder,single nucleotide variant,GRCh37
na,na,1,45015006,45015006,UROD,Likely pathogenic,Familial porphyria cutanea tarda|not provided|UROD-related disorder,single nucleotide variant,GRCh38
na,na,1,45479600,45479600,UROD,Pathogenic/Likely pathogenic,Familial porphyria cutanea tarda|not provided,single nucleotide variant,GRCh37
na,na,1,45013928,45013928,UROD,Pathogenic/Likely pathogenic,Familial porphyria cutanea tarda|not provided,single nucleotide variant,GRCh38
na,na,1,45479689,45479689,UROD,Pathogenic,Familial porphyria cutanea tarda,single nucleotide variant,GRCh37
na,na,1,45014017,45014017,UROD,Pathogenic,Familial porphyria cutanea tarda,single nucleotide variant,GRCh38
na,na,1,45480648,45480648,UROD,Pathogenic,Familial porphyria cutanea tarda|not provided,single nucleotide variant,GRCh37
na,na,1,45014976,45014976,UROD,Pathogenic,Familial porphyria cutanea tarda|not provided,single nucleotide variant,GRCh38
na,na,1,45481061,45481061,UROD,Conflicting classifications of pathogenicity,Familial porphyria cutanea tarda,single nucleotide variant,GRCh37
na,na,1,45015389,45015389,UROD,Conflicting classifications of pathogenicity,Familial porphyria cutanea tarda,single nucleotide variant,GRCh38
na,na,10,90984925,90984925,LIPA,Pathogenic,Wolman disease|Lysosomal acid lipase deficiency|Cholesteryl ester storage disease,single nucleotide variant,GRCh37
na,na,10,89225168,89225168,LIPA,Pathogenic,Wolman disease|Lysosomal acid lipase deficiency|Cholesteryl ester storage disease,single nucleotide variant,GRCh38
na,na,10,90983467,90983467,LIPA,Pathogenic,Lysosomal acid lipase deficiency|Cholesteryl ester storage disease|not provided|Wolman disease|Cholesteryl ester storage disease;Wolman disease,single nucleotide variant,GRCh37
na,na,10,89223710,89223710,LIPA,Pathogenic,Lysosomal acid lipase deficiency|Cholesteryl ester storage disease|not provided|Wolman disease|Cholesteryl ester storage disease;Wolman disease,single nucleotide variant,GRCh38
na,na,10,90984929,90984930,LIPA,Pathogenic,Wolman disease|Lysosomal acid lipase deficiency|Cholesteryl ester storage disease|not provided|LIPA-related disorder,Duplication,GRCh37
na,na,10,89225172,89225173,LIPA,Pathogenic,Wolman disease|Lysosomal acid lipase deficiency|Cholesteryl ester storage disease|not provided|LIPA-related disorder,Duplication,GRCh38
na,na,10,90982267,90982267,LIPA,Pathogenic,Wolman disease,single nucleotide variant,GRCh37
na,na,10,89222510,89222510,LIPA,Pathogenic,Wolman disease,single nucleotide variant,GRCh38
na,na,10,91005533,91005533,LIPA,Pathogenic,Wolman disease,single nucleotide variant,GRCh37
na,na,10,89245776,89245776,LIPA,Pathogenic,Wolman disease,single nucleotide variant,GRCh38
na,na,10,100242490,100242490,HPSE2,Pathogenic/Likely pathogenic,Urofacial syndrome type 1|not provided,single nucleotide variant,GRCh37
na,na,10,98482733,98482733,HPSE2,Pathogenic/Likely pathogenic,Urofacial syndrome type 1|not provided,single nucleotide variant,GRCh38
na,na,10,100249808,100249809,HPSE2,Pathogenic/Likely pathogenic,Urofacial syndrome type 1|not provided,Deletion,GRCh37
na,na,10,98490051,98490052,HPSE2,Pathogenic/Likely pathogenic,Urofacial syndrome type 1|not provided,Deletion,GRCh38
na,na,10,100995318,100995319,HPSE2,Pathogenic,Urofacial syndrome type 1,Microsatellite,GRCh37
na,na,10,99235561,99235562,HPSE2,Pathogenic,Urofacial syndrome type 1,Microsatellite,GRCh38
na,na,na,-1,-1,HPSE2,Pathogenic,Urofacial syndrome type 1,Indel,na
na,na,na,-1,-1,HPSE2,Pathogenic,Urofacial syndrome type 1,Deletion,na
na,na,10,100249860,100249860,HPSE2,Pathogenic,Urofacial syndrome type 1|not provided,single nucleotide variant,GRCh37
na,na,10,98490103,98490103,HPSE2,Pathogenic,Urofacial syndrome type 1|not provided,single nucleotide variant,GRCh38
na,na,10,100904148,100904148,HPSE2,Pathogenic/Likely pathogenic,Urofacial syndrome type 1|Congenital anomaly of kidney and urinary tract|not provided,single nucleotide variant,GRCh37
na,na,10,99144391,99144391,HPSE2,Pathogenic/Likely pathogenic,Urofacial syndrome type 1|Congenital anomaly of kidney and urinary tract|not provided,single nucleotide variant,GRCh38
na,na,10,100995502,100995503,HPSE2,Pathogenic,Urofacial syndrome type 1|HPSE2-related disorder,Duplication,GRCh37
na,na,10,99235745,99235746,HPSE2,Pathogenic,Urofacial syndrome type 1|HPSE2-related disorder,Duplication,GRCh38
na,na,8,17919233,17919233,ASAH1,Pathogenic,Farber lipogranulomatosis,single nucleotide variant,GRCh37
na,na,8,18061724,18061724,ASAH1,Pathogenic,Farber lipogranulomatosis,single nucleotide variant,GRCh38
na,na,8,17922010,17922010,ASAH1,Likely pathogenic,Farber lipogranulomatosis|not provided,single nucleotide variant,GRCh37
na,na,8,18064501,18064501,ASAH1,Likely pathogenic,Farber lipogranulomatosis|not provided,single nucleotide variant,GRCh38
na,na,8,17933068,17933068,ASAH1,Pathogenic/Likely pathogenic,Farber lipogranulomatosis|not provided,single nucleotide variant,GRCh37
na,na,8,18075559,18075559,ASAH1,Pathogenic/Likely pathogenic,Farber lipogranulomatosis|not provided,single nucleotide variant,GRCh38
na,na,8,17916933,17916933,ASAH1,Pathogenic,Farber lipogranulomatosis,single nucleotide variant,GRCh37
na,na,8,18059424,18059424,ASAH1,Pathogenic,Farber lipogranulomatosis,single nucleotide variant,GRCh38
na,na,8,17919892,17919892,ASAH1,Pathogenic,Farber lipogranulomatosis,single nucleotide variant,GRCh37
na,na,8,18062383,18062383,ASAH1,Pathogenic,Farber lipogranulomatosis,single nucleotide variant,GRCh38
na,na,22,31011758,31011761,TCN2,Pathogenic,Transcobalamin II deficiency,Deletion,GRCh37
na,na,22,30615771,30615774,TCN2,Pathogenic,Transcobalamin II deficiency,Deletion,GRCh38
na,na,22,31011610,31011610,TCN2,Benign,TCN2 POLYMORPHISM|not specified|Transcobalamin II deficiency|not provided,single nucleotide variant,GRCh37
na,na,22,30615623,30615623,TCN2,Benign,TCN2 POLYMORPHISM|not specified|Transcobalamin II deficiency|not provided,single nucleotide variant,GRCh38
na,na,22,31009031,31009031,TCN2,Pathogenic,Transcobalamin II deficiency,single nucleotide variant,GRCh37
na,na,22,30613044,30613044,TCN2,Pathogenic,Transcobalamin II deficiency,single nucleotide variant,GRCh38
na,na,22,31012077,31014228,TCN2,Pathogenic,Transcobalamin II deficiency,Indel,GRCh37
na,na,22,30616090,30618241,TCN2,Pathogenic,Transcobalamin II deficiency,Indel,GRCh38
na,na,22,31011112,31011112,TCN2,Pathogenic,Transcobalamin II deficiency,single nucleotide variant,GRCh37
